season_norm,week,label,ili,vaccine_rate,case_count,wx_week_avg_temp,wx_week_avg_rain,wx_week_avg_humidity
2015-2016,1,2015-2016 season - W1,5.2,81.70716845878135,27.0,-2.7,1.133,53.157
2015-2016,2,2015-2016 season - W2,4.7,81.70716845878135,102.0,-1.129,3.475,48.129
2015-2016,3,2015-2016 season - W3,4.6,81.70716845878135,306.0,-0.029,1.467,60.457
2015-2016,4,2015-2016 season - W4,3.5,81.70716845878135,248.0,0.986,1.75,65.786
2015-2016,5,2015-2016 season - W5,4.0,81.70716845878135,232.0,-1.643,3.475,52.257
2015-2016,6,2015-2016 season - W6,3.8,81.70716845878135,325.0,-1.371,0.2,56.814
2015-2016,7,2015-2016 season - W7,4.0,81.70716845878135,468.0,1.971,3.667,65.729
2015-2016,8,2015-2016 season - W8,3.9,81.70716845878135,349.0,3.571,3.667,64.057
2015-2016,9,2015-2016 season - W9,3.8,81.70716845878135,566.0,1.371,2.0,49.457
2015-2016,10,2015-2016 season - W10,4.5,81.70716845878135,416.0,1.957,3.475,40.857
2015-2016,11,2015-2016 season - W11,4.4,81.70716845878135,406.0,6.957,0.533,45.371
2015-2016,12,2015-2016 season - W12,5.1,81.70716845878135,488.0,8.9,3.475,35.814
2015-2016,13,2015-2016 season - W13,5.4,81.70716845878135,372.0,10.886,2.5,57.257
2015-2016,14,2015-2016 season - W14,7.0,81.70716845878135,413.0,10.914,6.4,63.543
2015-2016,15,2015-2016 season - W15,7.4,81.70716845878135,246.0,11.371,6.0,52.743
2015-2016,16,2015-2016 season - W16,7.6,81.70716845878135,172.0,12.929,4.9,55.7
2015-2016,17,2015-2016 season - W17,9.0,81.70716845878135,126.0,17.029,1.75,43.314
2015-2016,18,2015-2016 season - W18,62.1,81.70716845878135,71.0,18.129,2.0,55.757
2015-2016,19,2015-2016 season - W19,10.6,81.70716845878135,58.0,17.0,7.833,55.629
2015-2016,20,2015-2016 season - W20,12.1,81.70716845878135,33.0,17.843,1.0,59.9
2015-2016,21,2015-2016 season - W21,13.5,81.70716845878135,21.0,20.829,3.475,43.729
2015-2016,22,2015-2016 season - W22,20.7,81.70716845878135,29.0,22.586,0.4,44.643
2015-2016,23,2015-2016 season - W23,27.2,81.70716845878135,13.0,22.714,1.0,51.486
2015-2016,24,2015-2016 season - W24,41.3,81.70716845878135,10.0,24.043,6.7,65.6
2015-2016,25,2015-2016 season - W25,53.8,81.70716845878135,6.0,23.671,23.75,65.729
2015-2016,26,2015-2016 season - W26,46.1,81.70716845878135,4.0,24.314,3.5,65.157
2015-2016,27,2015-2016 season - W27,43.0,81.70716845878135,7.0,24.229,0.5,59.5
2015-2016,28,2015-2016 season - W28,32.1,81.70716845878135,6.0,26.857,13.0,71.229
2015-2016,29,2015-2016 season - W29,28.8,81.70716845878135,7.0,25.7,4.375,67.414
2015-2016,30,2015-2016 season - W30,30.1,81.70716845878135,4.0,26.171,24.071,85.971
2015-2016,31,2015-2016 season - W31,30.5,81.70716845878135,4.0,27.886,5.533,74.229
2015-2016,32,2015-2016 season - W32,32.0,81.70716845878135,6.0,27.514,9.25,71.786
2015-2016,33,2015-2016 season - W33,28.3,81.70716845878135,4.0,26.8,7.275,67.429
2015-2016,34,2015-2016 season - W34,21.1,81.70716845878135,6.0,24.614,1.68,70.643
2015-2016,35,2015-2016 season - W35,15.4,81.70716845878135,5.0,24.7,0.2,65.329
2015-2016,36,2015-2016 season - W36,11.8,81.70716845878135,2.0,22.929,11.5,60.457
2015-2016,37,2015-2016 season - W37,7.7,81.70716845878135,2.0,21.329,2.5,58.329
2015-2016,38,2015-2016 season - W38,6.3,81.70716845878135,5.0,22.314,3.475,56.314
2015-2016,39,2015-2016 season - W39,5.9,81.70716845878135,7.0,22.271,0.0,46.9
2015-2016,40,2015-2016 season - W40,5.4,81.70716845878135,4.0,17.843,35.0,56.243
2015-2016,41,2015-2016 season - W41,5.3,81.70716845878135,8.0,14.9,3.5,62.271
2015-2016,42,2015-2016 season - W42,4.5,81.70716845878135,4.0,18.114,3.475,67.486
2015-2016,43,2015-2016 season - W43,5.6,81.70716845878135,9.0,15.029,13.0,62.057
2015-2016,44,2015-2016 season - W44,5.1,81.70716845878135,8.0,8.757,0.5,53.314
2015-2016,45,2015-2016 season - W45,4.8,81.70716845878135,4.0,11.529,10.75,78.557
2015-2016,46,2015-2016 season - W46,4.3,81.70716845878135,4.0,12.671,9.25,79.2
2015-2016,47,2015-2016 season - W47,5.3,81.70716845878135,15.0,7.8,5.375,72.143
2015-2016,48,2015-2016 season - W48,4.7,81.70716845878135,10.0,1.6,4.15,68.557
2015-2016,49,2015-2016 season - W49,4.7,81.70716845878135,10.0,1.914,7.1,57.914
2015-2016,50,2015-2016 season - W50,5.4,81.70716845878135,18.0,4.757,0.967,61.171
2015-2016,51,2015-2016 season - W51,4.2,81.70716845878135,19.0,0.671,0.8,61.714
2015-2016,52,2015-2016 season - W52,4.5,81.70716845878135,32.0,-1.814,1.067,54.243
2015-2016,53,2015-2016 season - W53,4.4,81.70716845878135,27.0,1.671,3.475,65.7
2016-2017,1,2016-2017 season - W1,3.8,85.59247311827959,54.0,-3.143,0.4,49.757
2016-2017,2,2016-2017 season - W2,4.6,85.59247311827959,124.0,-4.557,0.1,55.1
2016-2017,3,2016-2017 season - W3,3.9,85.59247311827959,176.0,-7.771,0.15,49.029
2016-2017,4,2016-2017 season - W4,3.9,85.59247311827959,343.0,-2.229,3.475,45.143
2016-2017,5,2016-2017 season - W5,4.2,85.59247311827959,476.0,-0.657,3.475,46.814
2016-2017,6,2016-2017 season - W6,3.7,85.59247311827959,692.0,2.343,7.067,65.8
2016-2017,7,2016-2017 season - W7,3.7,85.59247311827959,765.0,0.757,0.45,47.271
2016-2017,8,2016-2017 season - W8,4.0,85.59247311827959,858.0,0.371,1.075,54.014
2016-2017,9,2016-2017 season - W9,4.8,85.59247311827959,744.0,7.371,10.075,53.929
2016-2017,10,2016-2017 season - W10,4.2,85.59247311827959,552.0,3.071,0.1,50.114
2016-2017,11,2016-2017 season - W11,4.5,85.59247311827959,487.0,10.114,3.475,52.143
2016-2017,12,2016-2017 season - W12,5.9,85.59247311827959,434.0,8.657,0.1,49.429
2016-2017,13,2016-2017 season - W13,7.3,85.59247311827959,489.0,13.229,2.5,42.986
2016-2017,14,2016-2017 season - W14,13.3,85.59247311827959,470.0,13.071,4.25,64.957
2016-2017,15,2016-2017 season - W15,34.8,85.59247311827959,422.0,12.943,11.5,60.357
2016-2017,16,2016-2017 season - W16,61.8,85.59247311827959,304.0,15.929,8.5,52.043
2016-2017,17,2016-2017 season - W17,86.2,85.59247311827959,218.0,16.829,14.6,52.143
2016-2017,18,2016-2017 season - W18,63.5,85.59247311827959,140.0,17.457,7.625,61.643
2016-2017,19,2016-2017 season - W19,39.4,85.59247311827959,92.0,18.786,16.0,55.214
2016-2017,20,2016-2017 season - W20,23.9,85.59247311827959,63.0,22.414,38.5,45.814
2016-2017,21,2016-2017 season - W21,17.0,85.59247311827959,36.0,21.5,0.0,58.886
2016-2017,22,2016-2017 season - W22,12.5,85.59247311827959,22.0,22.629,0.05,52.857
2016-2017,23,2016-2017 season - W23,9.9,85.59247311827959,24.0,23.414,5.0,69.843
2016-2017,24,2016-2017 season - W24,9.0,85.59247311827959,15.0,24.043,10.167,65.757
2016-2017,25,2016-2017 season - W25,7.1,85.59247311827959,17.0,24.2,1.8,63.271
2016-2017,26,2016-2017 season - W26,6.7,85.59247311827959,9.0,23.343,40.45,81.3
2016-2017,27,2016-2017 season - W27,6.1,85.59247311827959,10.0,26.843,0.75,67.029
2016-2017,28,2016-2017 season - W28,7.0,85.59247311827959,7.0,25.186,10.16,72.243
2016-2017,29,2016-2017 season - W29,9.3,85.59247311827959,4.0,28.357,0.5,70.614
2016-2017,30,2016-2017 season - W30,13.2,85.59247311827959,6.0,28.071,12.48,72.629
2016-2017,31,2016-2017 season - W31,13.7,85.59247311827959,4.0,30.314,1.0,62.6
2016-2017,32,2016-2017 season - W32,16.7,85.59247311827959,2.0,29.757,0.233,66.443
2016-2017,33,2016-2017 season - W33,15.8,85.59247311827959,6.0,29.671,3.98,61.971
2016-2017,34,2016-2017 season - W34,14.5,85.59247311827959,9.0,22.143,7.25,61.914
2016-2017,35,2016-2017 season - W35,13.3,85.59247311827959,5.0,24.614,2.5,69.971
2016-2017,36,2016-2017 season - W36,9.5,85.59247311827959,4.0,24.057,3.5,68.1
2016-2017,37,2016-2017 season - W37,6.8,85.59247311827959,6.0,22.543,7.0,55.571
2016-2017,38,2016-2017 season - W38,7.6,85.59247311827959,4.0,21.871,7.0,64.086
2016-2017,39,2016-2017 season - W39,6.7,85.59247311827959,11.0,20.971,12.5,68.357
2016-2017,40,2016-2017 season - W40,4.9,85.59247311827959,12.0,15.814,4.0,57.5
2016-2017,41,2016-2017 season - W41,5.1,85.59247311827959,10.0,17.243,1.5,65.029
2016-2017,42,2016-2017 season - W42,5.6,85.59247311827959,11.0,15.8,13.167,66.429
2016-2017,43,2016-2017 season - W43,5.7,85.59247311827959,14.0,8.029,0.3,50.857
2016-2017,44,2016-2017 season - W44,5.3,85.59247311827959,11.0,9.914,1.24,62.429
2016-2017,45,2016-2017 season - W45,5.8,85.59247311827959,14.0,9.214,1.6,60.4
2016-2017,46,2016-2017 season - W46,6.2,85.59247311827959,20.0,7.414,0.067,50.829
2016-2017,47,2016-2017 season - W47,6.3,85.59247311827959,26.0,1.686,1.267,55.871
2016-2017,48,2016-2017 season - W48,4.3,85.59247311827959,36.0,3.171,0.75,54.4
2016-2017,49,2016-2017 season - W49,4.5,85.59247311827959,101.0,0.729,2.033,55.086
2016-2017,50,2016-2017 season - W50,4.4,85.59247311827959,267.0,2.943,9.7,60.543
2016-2017,51,2016-2017 season - W51,3.8,85.59247311827959,566.0,-0.271,6.025,67.757
2016-2017,52,2016-2017 season - W52,5.2,85.59247311827959,671.0,0.886,0.2,62.843
2016-2017,53,2016-2017 season - W53,4.8,85.59247311827959,599.0,14.65,3.475,61.513999999999996
2017-2018,1,2017-2018 season - W1,4.9,82.32676224611707,695.0,2.043,0.0,54.2
2017-2018,2,2017-2018 season - W2,5.1,82.32676224611707,384.0,-4.214,0.2,44.6
2017-2018,3,2017-2018 season - W3,5.1,82.32676224611707,279.0,-5.743,2.033,57.671
2017-2018,4,2017-2018 season - W4,4.7,82.32676224611707,166.0,-2.7,1.975,53.071
2017-2018,5,2017-2018 season - W5,3.1,82.32676224611707,160.0,-0.714,0.5,58.5
2017-2018,6,2017-2018 season - W6,3.8,82.32676224611707,135.0,-2.386,3.475,49.386
2017-2018,7,2017-2018 season - W7,4.2,82.32676224611707,114.0,0.8,2.12,57.129
2017-2018,8,2017-2018 season - W8,4.1,82.32676224611707,94.0,2.6,5.0,52.571
2017-2018,9,2017-2018 season - W9,5.2,82.32676224611707,89.0,2.1,0.25,53.557
2017-2018,10,2017-2018 season - W10,5.3,82.32676224611707,69.0,6.071,0.0,43.243
2017-2018,11,2017-2018 season - W11,6.3,82.32676224611707,95.0,8.5,3.475,39.471
2017-2018,12,2017-2018 season - W12,7.7,82.32676224611707,97.0,7.886,0.4,50.243
2017-2018,13,2017-2018 season - W13,11.4,82.32676224611707,131.0,10.671,13.333,54.443
2017-2018,14,2017-2018 season - W14,19.0,82.32676224611707,163.0,13.714,1.333,53.8
2017-2018,15,2017-2018 season - W15,30.6,82.32676224611707,127.0,14.314,4.75,58.614
2017-2018,16,2017-2018 season - W16,53.6,82.32676224611707,148.0,14.557,0.1,46.071
2017-2018,17,2017-2018 season - W17,71.8,82.32676224611707,121.0,18.1,3.475,46.886
2017-2018,18,2017-2018 season - W18,62.1,82.32676224611707,102.0,17.829,2.5,50.114
2017-2018,19,2017-2018 season - W19,72.1,82.32676224611707,85.0,17.457,2.0,63.771
2017-2018,20,2017-2018 season - W20,69.0,82.32676224611707,50.0,21.071,2.55,51.229
2017-2018,21,2017-2018 season - W21,59.6,82.32676224611707,44.0,21.057,3.475,48.314
2017-2018,22,2017-2018 season - W22,43.6,82.32676224611707,24.0,21.029,7.0,50.686
2017-2018,23,2017-2018 season - W23,35.3,82.32676224611707,31.0,21.571,1.533,55.6
2017-2018,24,2017-2018 season - W24,31.7,82.32676224611707,20.0,24.757,0.0,52.771
2017-2018,25,2017-2018 season - W25,30.7,82.32676224611707,23.0,24.943,8.5,64.857
2017-2018,26,2017-2018 season - W26,18.8,82.32676224611707,10.0,25.786,40.125,74.829
2017-2018,27,2017-2018 season - W27,15.1,82.32676224611707,8.0,26.2,33.286,82.6
2017-2018,28,2017-2018 season - W28,11.7,82.32676224611707,16.0,27.014,15.0,77.3
2017-2018,29,2017-2018 season - W29,9.8,82.32676224611707,11.0,28.614,45.667,72.357
2017-2018,30,2017-2018 season - W30,8.0,82.32676224611707,13.0,27.429,3.5,74.071
2017-2018,31,2017-2018 season - W31,7.2,82.32676224611707,23.0,29.529,2.5,65.314
2017-2018,32,2017-2018 season - W32,6.2,82.32676224611707,15.0,25.1,17.167,75.229
2017-2018,33,2017-2018 season - W33,6.8,82.32676224611707,18.0,25.814,26.917,80.043
2017-2018,34,2017-2018 season - W34,5.8,82.32676224611707,13.0,22.786,7.667,63.429
2017-2018,35,2017-2018 season - W35,7.6,82.32676224611707,17.0,22.871,1.0,61.871
2017-2018,36,2017-2018 season - W36,6.2,82.32676224611707,18.0,22.6,12.25,67.557
2017-2018,37,2017-2018 season - W37,6.1,82.32676224611707,15.0,22.014,8.0,55.743
2017-2018,38,2017-2018 season - W38,6.0,82.32676224611707,28.0,22.329,0.125,62.971
2017-2018,39,2017-2018 season - W39,5.6,82.32676224611707,16.0,18.729,2.75,55.529
2017-2018,40,2017-2018 season - W40,5.6,82.32676224611707,8.0,20.271,4.18,68.186
2017-2018,41,2017-2018 season - W41,5.1,82.32676224611707,11.0,14.814,0.1,51.543
2017-2018,42,2017-2018 season - W42,4.6,82.32676224611707,30.0,15.771,3.475,54.343
2017-2018,43,2017-2018 season - W43,4.3,82.32676224611707,27.0,13.229,3.475,51.786
2017-2018,44,2017-2018 season - W44,4.1,82.32676224611707,33.0,11.843,0.625,60.629
2017-2018,45,2017-2018 season - W45,4.5,82.32676224611707,47.0,7.071,6.0,48.729
2017-2018,46,2017-2018 season - W46,4.2,82.32676224611707,45.0,0.786,0.167,44.529
2017-2018,47,2017-2018 season - W47,5.2,82.32676224611707,93.0,2.7,5.14,60.914
2017-2018,48,2017-2018 season - W48,4.5,82.32676224611707,181.0,-0.429,1.08,54.286
2017-2018,49,2017-2018 season - W49,4.5,82.32676224611707,336.0,-3.943,4.1,49.171
2017-2018,50,2017-2018 season - W50,2.7,82.32676224611707,572.0,-4.486,1.2,53.443
2017-2018,51,2017-2018 season - W51,3.2,82.32676224611707,1303.0,-0.186,20.0,58.871
2017-2018,52,2017-2018 season - W52,4.0,82.32676224611707,2370.0,-0.957,0.425,53.043
2017-2018,53,2017-2018 season - W53,3.7,82.32676224611707,27.0,14.65,3.475,61.513999999999996
2018-2019,1,2018-2019 season - W1,4.0,78.84086021505375,3314.0,-3.1,0.567,48.943
2018-2019,2,2018-2019 season - W2,4.3,78.84086021505375,3108.0,-1.771,0.15,57.671
2018-2019,3,2018-2019 season - W3,4.4,78.84086021505375,2563.0,-2.857,1.65,46.7
2018-2019,4,2018-2019 season - W4,3.9,78.84086021505375,1431.0,-8.771,1.45,41.771
2018-2019,5,2018-2019 season - W5,3.5,78.84086021505375,1174.0,-7.243,0.5,42.457
2018-2019,6,2018-2019 season - W6,3.7,78.84086021505375,992.0,-1.957,0.0,46.2
2018-2019,7,2018-2019 season - W7,3.8,78.84086021505375,641.0,-0.486,3.475,34.529
2018-2019,8,2018-2019 season - W8,4.9,78.84086021505375,690.0,3.1,9.7,56.471
2018-2019,9,2018-2019 season - W9,5.7,78.84086021505375,517.0,4.743,3.2,55.914
2018-2019,10,2018-2019 season - W10,7.8,78.84086021505375,363.0,8.214,4.0,60.214
2018-2019,11,2018-2019 season - W11,10.1,78.84086021505375,303.0,7.014,7.375,58.771
2018-2019,12,2018-2019 season - W12,13.2,78.84086021505375,193.0,9.5,3.475,62.329
2018-2019,13,2018-2019 season - W13,19.2,78.84086021505375,167.0,15.629,9.3,63.929
2018-2019,14,2018-2019 season - W14,34.0,78.84086021505375,106.0,8.157,5.04,60.8
2018-2019,15,2018-2019 season - W15,48.7,78.84086021505375,101.0,11.9,9.0,44.7
2018-2019,16,2018-2019 season - W16,71.9,78.84086021505375,90.0,14.657,25.833,52.743
2018-2019,17,2018-2019 season - W17,73.3,78.84086021505375,74.0,16.7,6.0,60.243
2018-2019,18,2018-2019 season - W18,62.1,78.84086021505375,85.0,16.086,11.5,57.529
2018-2019,19,2018-2019 season - W19,53.1,78.84086021505375,59.0,17.886,19.375,74.371
2018-2019,20,2018-2019 season - W20,33.6,78.84086021505375,54.0,17.857,27.125,62.843
2018-2019,21,2018-2019 season - W21,23.0,78.84086021505375,68.0,20.571,0.5,54.457
2018-2019,22,2018-2019 season - W22,15.3,78.84086021505375,52.0,23.057,3.475,51.243
2018-2019,23,2018-2019 season - W23,11.3,78.84086021505375,65.0,21.8,1.2,64.943
2018-2019,24,2018-2019 season - W24,10.2,78.84086021505375,27.0,22.643,22.75,63.329
2018-2019,25,2018-2019 season - W25,8.0,78.84086021505375,21.0,24.3,36.25,63.7
2018-2019,26,2018-2019 season - W26,8.6,78.84086021505375,31.0,24.514,31.767,83.057
2018-2019,27,2018-2019 season - W27,8.3,78.84086021505375,27.0,23.929,8.5,69.5
2018-2019,28,2018-2019 season - W28,9.1,78.84086021505375,25.0,27.871,0.5,70.286
2018-2019,29,2018-2019 season - W29,12.1,78.84086021505375,26.0,30.543,3.475,58.5
2018-2019,30,2018-2019 season - W30,20.3,78.84086021505375,34.0,31.386,7.5,60.643
2018-2019,31,2018-2019 season - W31,27.2,78.84086021505375,25.0,31.414,4.25,63.129
2018-2019,32,2018-2019 season - W32,32.2,78.84086021505375,22.0,30.714,2.25,62.957
2018-2019,33,2018-2019 season - W33,42.1,78.84086021505375,10.0,28.343,2.5,52.443
2018-2019,34,2018-2019 season - W34,44.2,78.84086021505375,13.0,24.829,28.417,78.971
2018-2019,35,2018-2019 season - W35,37.3,78.84086021505375,12.0,24.571,14.7,68.814
2018-2019,36,2018-2019 season - W36,23.9,78.84086021505375,25.0,22.471,0.75,53.129
2018-2019,37,2018-2019 season - W37,15.1,78.84086021505375,14.0,22.7,0.6,67.6
2018-2019,38,2018-2019 season - W38,11.3,78.84086021505375,25.0,19.057,7.375,61.086
2018-2019,39,2018-2019 season - W39,7.0,78.84086021505375,17.0,17.543,0.0,55.457
2018-2019,40,2018-2019 season - W40,5.5,78.84086021505375,19.0,16.1,24.75,62.657
2018-2019,41,2018-2019 season - W41,5.1,78.84086021505375,23.0,12.629,3.475,56.871
2018-2019,42,2018-2019 season - W42,4.7,78.84086021505375,34.0,13.043,5.0,58.329
2018-2019,43,2018-2019 season - W43,4.4,78.84086021505375,80.0,9.1,3.3,60.043
2018-2019,44,2018-2019 season - W44,4.1,78.84086021505375,104.0,11.243,2.0,62.114
2018-2019,45,2018-2019 season - W45,4.7,78.84086021505375,167.0,10.086,16.25,65.557
2018-2019,46,2018-2019 season - W46,4.1,78.84086021505375,211.0,6.9,0.6,52.5
2018-2019,47,2018-2019 season - W47,4.4,78.84086021505375,240.0,4.286,10.9,53.671
2018-2019,48,2018-2019 season - W48,4.3,78.84086021505375,440.0,5.443,4.833,54.529
2018-2019,49,2018-2019 season - W49,4.0,78.84086021505375,735.0,-3.514,0.0,38.4
2018-2019,50,2018-2019 season - W50,3.3,78.84086021505375,1218.0,-0.114,0.633,54.586
2018-2019,51,2018-2019 season - W51,2.9,78.84086021505375,1696.0,2.157,3.475,43.943
2018-2019,52,2018-2019 season - W52,3.3,78.84086021505375,2052.0,-7.186,3.475,36.871
2018-2019,53,2018-2019 season - W53,3.5,78.84086021505375,27.0,14.65,3.475,61.513999999999996
2019-2020,1,2019-2020 season - W1,3.4,80.36774193548386,1431.0,-2.9,3.475,39.4
2019-2020,2,2019-2020 season - W2,3.6,80.36774193548386,1021.0,0.043,0.0,54.686
2019-2020,3,2019-2020 season - W3,3.7,80.36774193548386,638.0,0.714,0.0,50.971
2019-2020,4,2019-2020 season - W4,3.8,80.36774193548386,385.0,-0.129,0.0,39.486
2019-2020,5,2019-2020 season - W5,3.9,80.36774193548386,270.0,1.129,5.433,51.7
2019-2020,6,2019-2020 season - W6,4.2,80.36774193548386,213.0,-3.471,0.25,33.614
2019-2020,7,2019-2020 season - W7,4.6,80.36774193548386,148.0,-0.257,1.75,56.514
2019-2020,8,2019-2020 season - W8,4.5,80.36774193548386,150.0,5.314,3.475,45.914
2019-2020,9,2019-2020 season - W9,5.8,80.36774193548386,165.0,8.157,3.475,46.171
2019-2020,10,2019-2020 season - W10,7.0,80.36774193548386,192.0,6.343,0.0,43.329
2019-2020,11,2019-2020 season - W11,8.2,80.36774193548386,264.0,6.929,6.667,59.743
2019-2020,12,2019-2020 season - W12,9.7,80.36774193548386,354.0,6.9,2.5,54.886
2019-2020,13,2019-2020 season - W13,12.7,80.36774193548386,495.0,6.857,0.9,44.829
2019-2020,14,2019-2020 season - W14,19.5,80.36774193548386,601.0,10.057,5.95,45.729
2019-2020,15,2019-2020 season - W15,28.5,80.36774193548386,798.0,12.014,1.7,40.1
2019-2020,16,2019-2020 season - W16,37.8,80.36774193548386,810.0,16.386,1.12,64.229
2019-2020,17,2019-2020 season - W17,49.8,80.36774193548386,648.0,13.0,5.4,59.143
2019-2020,18,2019-2020 season - W18,62.1,80.36774193548386,330.0,16.971,0.0,35.857
2019-2020,19,2019-2020 season - W19,49.1,80.36774193548386,214.0,19.329,0.0,43.186
2019-2020,20,2019-2020 season - W20,47.8,80.36774193548386,164.0,20.343,10.233,55.729
2019-2020,21,2019-2020 season - W21,42.4,80.36774193548386,101.0,21.486,7.1,50.171
2019-2020,22,2019-2020 season - W22,40.9,80.36774193548386,81.0,21.057,0.0,51.9
2019-2020,23,2019-2020 season - W23,28.0,80.36774193548386,50.0,20.729,13.7,65.043
2019-2020,24,2019-2020 season - W24,16.4,80.36774193548386,29.0,21.971,4.025,62.729
2019-2020,25,2019-2020 season - W25,11.6,80.36774193548386,14.0,24.329,0.1,53.543
2019-2020,26,2019-2020 season - W26,8.5,80.36774193548386,20.0,24.229,0.725,67.971
2019-2020,27,2019-2020 season - W27,6.3,80.36774193548386,9.0,26.029,4.25,49.0
2019-2020,28,2019-2020 season - W28,3.9,80.36774193548386,17.0,24.343,3.52,72.457
2019-2020,29,2019-2020 season - W29,2.9,80.36774193548386,6.0,27.129,1.68,72.571
2019-2020,30,2019-2020 season - W30,3.2,80.36774193548386,10.0,26.757,22.843,84.457
2019-2020,31,2019-2020 season - W31,2.8,80.36774193548386,6.0,28.771,11.625,71.557
2019-2020,32,2019-2020 season - W32,2.5,80.36774193548386,10.0,29.543,17.325,69.214
2019-2020,33,2019-2020 season - W33,2.7,80.36774193548386,15.0,26.4,4.4,68.1
2019-2020,34,2019-2020 season - W34,2.3,80.36774193548386,9.0,25.771,20.0,64.786
2019-2020,35,2019-2020 season - W35,2.4,80.36774193548386,16.0,23.5,14.95,69.371
2019-2020,36,2019-2020 season - W36,1.7,80.36774193548386,7.0,24.557,16.057,80.014
2019-2020,37,2019-2020 season - W37,2.1,80.36774193548386,14.0,22.843,1.433,60.529
2019-2020,38,2019-2020 season - W38,2.3,80.36774193548386,23.0,19.714,0.4,57.114
2019-2020,39,2019-2020 season - W39,2.2,80.36774193548386,19.0,22.743,23.1,64.629
2019-2020,40,2019-2020 season - W40,2.4,80.36774193548386,45.0,17.814,10.2,67.143
2019-2020,41,2019-2020 season - W41,2.4,80.36774193548386,46.0,16.086,3.475,56.229
2019-2020,42,2019-2020 season - W42,2.0,80.36774193548386,75.0,16.871,3.475,60.4
2019-2020,43,2019-2020 season - W43,2.0,80.36774193548386,83.0,13.229,0.6,58.829
2019-2020,44,2019-2020 season - W44,1.7,80.36774193548386,82.0,13.6,3.475,61.9
2019-2020,45,2019-2020 season - W45,1.8,80.36774193548386,92.0,9.029,6.8,54.671
2019-2020,46,2019-2020 season - W46,1.9,80.36774193548386,134.0,3.9,13.65,60.286
2019-2020,47,2019-2020 season - W47,1.8,80.36774193548386,147.0,6.771,3.8,53.571
2019-2020,48,2019-2020 season - W48,2.3,80.36774193548386,213.0,2.3,1.3,52.586
2019-2020,49,2019-2020 season - W49,1.8,80.36774193548386,353.0,0.571,0.5,56.8
2019-2020,50,2019-2020 season - W50,2.1,80.36774193548386,674.0,3.671,3.6,59.243
2019-2020,51,2019-2020 season - W51,1.8,80.36774193548386,978.0,1.029,0.76,61.957
2019-2020,52,2019-2020 season - W52,2.1,80.36774193548386,1331.0,-0.314,0.44,54.071
